Barramento,Nivel_Hierarquico
320791,329
62921,329
62951,329
6cf248,329
134401,329
641761,329
72861,329
mrt_27271trf_16_5730a,329
319111,330
320801,330
et6_723,330
62961,330
134371,330
134411,330
et16_3997,330
72851,330
et16_5730,330
319121,331
320811,331
uc621171,331
62971,331
134361,331
134421,331
bt641771,331
uc1629422,331
72841,331
bt41891,331
uc1607289,331
319131,332
320821,332
62981,332
134351,332
134431,332
bt641781,332
uc1607288,332
72831,332
bt41901,332
319141,333
320831,333
62991,333
134341,333
325211,333
134441,333
uc1606000,333
72821,333
uc1607290,333
319151,334
320841,334
63001,334
134331,334
325221,334
134451,334
72811,334
722571,335
et6_4662,335
63011,335
et6_722,335
134321,335
mrt_325221trf_6_2860a,335
134461,335
3491,335
722581,336
758241,336
uc606117,336
134311,336
et6_2860,336
et6_1256,336
21711,336
3511,336
722591,337
6cs1614,337
75891,337
uc621168,337
bt765771,337
16cs243,337
3521,337
et16_1585,337
722601,338
758251,338
75881,338
bt325231,338
3471,338
3541,338
bt3521,338
bt3491,338
uc1607298,338
722611,339
758081,339
75871,339
uc627346,339
3461,339
3571,339
bt3541,339
bt3501,339
bt3471,339
722621,340
758091,340
148521,340
3451,340
3581,340
bt3571,340
uc1607299,340
bt3481,340
722631,341
758101,341
355141,341
148511,341
3441,341
544751,341
72071,341
bt617951,341
722661,342
722641,342
758111,342
6cf890,342
148501,342
3431,342
16cf1453,342
et16_301,342
722671,343
722651,343
758121,343
614171,343
133941,343
3421,343
549621,343
bt72081,343
bt3581,343
722681,344
et6_724,344
758131,344
614181,344
133931,344
3411,344
et16_3364,344
uc1607297,344
bt682001,344
bt617981,344
722691,345
uc606120,345
758141,345
610961,345
133921,345
3401,345
uc1607302,345
bt3591,345
uc1607292,345
722701,346
758151,346
610971,346
133911,346
3391,346
bt72061,346
722711,347
758161,347
mrt_610971trf_6_3142a,347
614821,347
133901,347
72031,347
uc1607291,347
722721,348
758171,348
et6_5711,348
et6_3142,348
614831,348
133891,348
56961,348
72041,348
722731,349
758181,349
uc635963,349
bt614851,349
bt614891,349
mrt_614831trf_6_3604a,349
614961,349
133881,349
56951,349
72051,349
722741,350
758191,350
bt614861,350
bt614901,350
et6_3604,350
614971,350
133871,350
56941,350
mrt_72051trf_16_302a,350
722751,351
758201,351
bt614871,351
bt614931,351
uc626699,351
614991,351
133861,351
56931,351
et16_302,351
722761,352
758211,352
bt614881,352
bt614941,352
uc622257,352
215261,352
133851,352
56921,352
bt72041,352
bt2501,352
722771,353
758221,353
bt614951,353
215271,353
133841,353
56911,353
bt72031,353
bt2511,353
722781,354
758231,354
uc622258,354
215351,354
214441,354
74721,354
bt2521,354
726581,355
758261,355
155721,355
214451,355
74741,355
74711,355
74761,355
bt2531,355
bt2541,355
725641,356
758271,356
580851,356
133791,356
et16_6318,356
74701,356
74771,356
et16_303,356
uc1607303,356
bt3361,356
4271,357
725611,357
758281,357
580881,357
133781,357
bt74751,357
uc1607304,357
74021,357
74781,357
445011,357
bt74721,357
bt74771,357
bt3371,357
4281,358
