bus;reduction
818791;0.20346039148065032
822591;0.20254001989287929
mrt_643171trf_6_3818a;0.20231155959383784
581011;0.20195465010996116
801231;0.20004555312592487
69171;0.19955863046288158
581041;0.19883058189214253
756091;0.198728250875309
30651;0.19704923023408227
116131;0.19629815011054674
116061;0.19552160260294116
11381;0.19487340732018055
mrt_3231trf_6_878a;0.19386060528958993
800531;0.19326945606938395
822541;0.19300884788820838
817241;0.19285037387916049
21861;0.18979286202726087
7371;0.18912893876511205
74861;0.1852185780234734
800441;0.1843524992256178
74881;0.18388697809028542
641961;0.18316718964037904
800571;0.18279859208430338
164091;0.18243216651370986
818381;0.18106111300015115
815711;0.18095679596314795
mrt_755661trf_11_5652a;0.18093087422490228
37631;0.17979497359337415
820581;0.17925316410368808
61051;0.1741753613730168
818271;0.17332636612672303
56841;0.17096921830376388
337581;0.1708435867534135
309871;0.1696576435276178
725641;0.1684950210388898
818181;0.1673244062697279
597421;0.1666743097193084
mrt_820741trf_6_1647a;0.16633544937438316
116051;0.16482680027290542
815461;0.16429963148449644
48451;0.16047382325849568
22001;0.1577375214389285
818891;0.15637970744897345
mrt_643161trf_6_3817a;0.1560189081445671
21971;0.15529698796864366
61471;0.15364798857686068
818801;0.15107299971941757
331931;0.15015101371822936
320731;0.1486878699904679
827081;0.1484944667496002
824361;0.1481202786929252
7461;0.14585897801728365
641751;0.1458231721437393
640631;0.1454630941390711
815101;0.1443664174616437
553771;0.14374724663979777
44111;0.14366048629918282
815111;0.14312282059017178
mrt_10551trf_6_6272a;0.13932004636676965
61421;0.13924280671495026
mrt_308581trf_16_4173a;0.1361631351183803
62141;0.13325109047568873
801121;0.13142776556928126
817721;0.1310810588923843
818391;0.1285546564325557
6cf1912;0.12656984495157175
817611;0.12302160678845908
818281;0.12106854816109447
mrt_48561trf_16_6081a;0.11830403396418276
801011;0.11814852656249641
44711;0.11792776294918283
581031;0.11733766611522967
mrt_337691trf_16_2195a;0.11559975738916606
818171;0.1142963813543929
63841;0.11375893557338301
43891;0.11279090474951303
69181;0.11226020636673084
48361;0.1094896962719325
356521;0.10908272980639921
mrt_756091trf_16_5666a;0.10726987479847239
44811;0.10688686107759438
16cf1587;0.1040825551430018
116041;0.09993761699050552
1_rede2_1;0.09219512185362788
mrt_31721trf_16_3996a;0.09210399481427345
30941;0.0912585275819211
822601;0.09049470870628795
817111;0.0884387183755102
817091;0.08648863659979256
815721;0.0860567161612309
801241;0.08282104677110524
822551;0.08050881533548804
817741;0.07964196207321095
60561;0.078766718166424
800581;0.07652896463143222
30681;0.07308375329063921
133731;0.07265565866118706
801131;0.07081168680281635
817621;0.07074558530351993
2041;0.06963885184825358
815471;0.06963313203027255
824371;0.06956201370923765
7951;0.06937460671524676
29631;0.06624902147151701
800451;0.06499671109441252
48201;0.06367526911408916
275601;0.06305526370183401
164101;0.059629696755152395
800981;0.05935590818754122
18031;0.058914080531511814
820601;0.05837210102387047
319061;0.05777793072202542
50071;0.05769469692775786
16cf1875;0.05738864195843618
14001;0.053571689132962064
6cf128;0.05093217521967475
6431;0.05002472858648943
151191;0.043873920122397436
10881;0.04135164683357573
51391;0.03817938512301566
43881;0.036498496979106676
8891;0.03618211858460185
817101;0.03428271189093479
815681;0.03089120961681502
809471;0.02861746901740503
725731;0.028139232543711756
43931;0.027973223449013318
659461;0.023869898244168297
10811;0.022102694275297097
64571;0.01942878422968164
801251;0.016522716314646857
822611;0.014526528523624904
800591;0.009921019371780915
30631;0.007888941053096232
822561;0.004196765708929462
63831;0.002962148128148101
660971;0.002120399914385729
780381;0.0007960310834107531
75841;-0.00019197932543590923
800461;-0.0022995131170802097
9751;-0.004123214653471763
64741;-0.007361923362342537
258061;-0.014535088813968144
mrt_597421trf_6_3010a;-0.014836643725026022
133841;-0.016479257892779486
820591;-0.01913018277122447
