PAC,long,lat
801081,-53.65949954926475,-27.69142103365374
801061,-53.65781383753853,-27.691816041077402
801051,-53.65698700354733,-27.691801492744673
801391,-53.635248597344855,-27.70139523100505
801381,-53.63526387862504,-27.702127905978045
801371,-53.6352499814015,-27.702848504854558
801361,-53.635260230974836,-27.70356999855653
801351,-53.63527379994588,-27.704222948630104
801341,-53.635261874935566,-27.70493701483133
801331,-53.635255229844915,-27.705655671172224
801321,-53.63514005906643,-27.70636764375172
801311,-53.634873991941106,-27.70669787120977
801301,-53.63473485423009,-27.70704553112631
801291,-53.63461885607529,-27.707436507788543
801281,-53.63458699849116,-27.70784446814764
801271,-53.63457485944218,-27.708250338482287
801261,-53.63458308823891,-27.708651670837867
801251,-53.63453136373141,-27.709004883168802
801241,-53.634497373854686,-27.7097669156106
801231,-53.63457165425842,-27.71051633146351
30871,-53.659996471459976,-27.680437229494487
30861,-53.65902167560978,-27.679941692255227
30851,-53.65804666931831,-27.679437129419966
30841,-53.65716720700095,-27.679111169245004
30831,-53.656219549092896,-27.67847975703512
30821,-53.655265700251846,-27.678010855916227
30811,-53.654300420128266,-27.677488034145426
22951,-53.66369094937778,-27.682333021951365
21731,-53.66929455400043,-27.685211407380507
21721,-53.66838221336843,-27.68478691388492
801461,-53.63458308823891,-27.708651670837867
801451,-53.63527079710957,-27.697266776240667
801441,-53.63524879699435,-27.697865459423383
801431,-53.63526482471184,-27.698570241923107
801421,-53.6352587282077,-27.699269670758667
801411,-53.63525501940359,-27.699963010284648
801401,-53.63525947914161,-27.700671440434576
48371,-53.65367222299466,-27.67078757318791
48361,-53.65389056489761,-27.669339839162205
48331,-53.654293479160685,-27.666724705081037
48321,-53.654443861994594,-27.665819604890828
48311,-53.65402264113192,-27.665300600742114
48301,-53.65334517374072,-27.664220452911536
48291,-53.65300176941611,-27.6635916883057
37761,-53.65250634639074,-27.662798201175974
37741,-53.652010495288096,-27.661986676343986
37671,-53.65110419540224,-27.660542428989856
37651,-53.650862322737964,-27.66017714775711
31742,-53.66465543629931,-27.682819699969116
31731,-53.66369094937778,-27.682333021951365
30911,-53.66195166773525,-27.681463567289768
30901,-53.6628086047333,-27.681889866623976
30891,-53.6619568748099,-27.681455139742866
30881,-53.66099175386631,-27.680941387634903
356521,-53.653802138158085,-27.669873842204026
310331,-53.65352030411867,-27.671629547265752
309871,-53.65394218058714,-27.66895991786589
60991,-53.66930242037034,-27.68520438997058
60971,-53.66963600050099,-27.68631574157814
60961,-53.669649516411994,-27.68563762307781
60341,-53.66751987324352,-27.684334383125247
60331,-53.66658531306172,-27.683829106228245
60321,-53.665630500147415,-27.683324211543095
48481,-53.65274967415809,-27.676729757272426
48462,-53.65363816566878,-27.67692330936319
48451,-53.65274967415809,-27.676729757272426
48421,-53.652756875029695,-27.676101133860186
48411,-53.65296979761803,-27.67526701356178
48401,-53.653098630897034,-27.674308194167793
48391,-53.653239989933525,-27.673448377540524
48381,-53.65337012812887,-27.67254366585746
801541,-53.62346500450633,-27.716889299801323
801531,-53.623440082493744,-27.716875652589238
800421,-53.62347992335975,-27.716894602204093
801521,-53.656219549092896,-27.67847975703512
801511,-53.6619568748099,-27.681455139742866
801501,-53.66929455400043,-27.685211407380507
801491,-53.65151530518716,-27.66120220311916
801481,-53.65111447465324,-27.66055940189483
37731,-53.651108355666054,-27.660548565963495
801471,-53.669369998126854,-27.686558694328255
574241,-53.656225795783826,-27.67847026379161
28601,-53.64714811729175,-27.860205437331047
28591,-53.64644126904926,-27.85952431329639
28581,-53.64577501530465,-27.858842405952203
28571,-53.64502540879556,-27.858071874017753
28561,-53.644276906653886,-27.857346425996695
18091,-53.6437668165853,-27.85682390819676
18081,-53.64318439404451,-27.856248643360175
18071,-53.64270650330246,-27.855797681018146
18061,-53.641749859368474,-27.85485967823155
18051,-53.64106293470661,-27.85416009651118
18041,-53.640334560291706,-27.85342521640058
18031,-53.63965823773742,-27.85274346823644
18021,-53.63911753474639,-27.852212495010576
806231,-53.728194781763705,-27.67039499483309
10551,-53.726472682568215,-27.670825875313824
10531,-53.72725844272293,-27.670638986300105
10521,-53.72818259055407,-27.67039823868771
806251,-53.657288990494465,-27.868094021421882
28741,-53.65865111985323,-27.868997015399884
28731,-53.65807428839764,-27.868619293845313
28721,-53.65639121078573,-27.867497832958577
28711,-53.65557571814486,-27.86694516358841
28701,-53.65475030598179,-27.866401701477287
28691,-53.653914754862,-27.865858429123136
28681,-53.653129947988646,-27.86531417381002
28671,-53.65225272588253,-27.864726582865444
28661,-53.65151027977555,-27.864253678864145
28651,-53.650602853938494,-27.863675679189214
28641,-53.64984259316111,-27.862887337980226
28631,-53.64923871369564,-27.86226740471693
28621,-53.648562717595325,-27.86160374371775
28611,-53.647865998417046,-27.860922433523456
806791,-53.59559204383771,-27.733168471347824
811221,-53.59498829657258,-27.73237903206666
807741,-53.60842334955788,-27.77885946769021
44711,-53.608353707857304,-27.778066824124608
44701,-53.60841467739539,-27.778893483647323
807731,-53.65274967415809,-27.676729757272426
74741,-53.68617160743372,-27.638087527517314
762101,-53.602189468569065,-27.730019716436743
809461,-53.59919936755671,-27.78640456561817
809451,-53.599548158820426,-27.786993472270865
809441,-53.60025341616216,-27.78721477384272
809431,-53.60103936877181,-27.787416507066098
809421,-53.6018346050829,-27.78758197243002
809411,-53.60261991827457,-27.787756642355134
809401,-53.60350835582591,-27.78800154123809
809391,-53.604283963534044,-27.788194428729867
809381,-53.605134242850966,-27.788115234430506
813661,-53.60595560626615,-27.78809973731296
809361,-53.60683759477911,-27.788074067963805
809501,-53.59782366562962,-27.784012475994928
809491,-53.59815216099338,-27.78460176755749
809481,-53.59851172343724,-27.785217541456348
809471,-53.59887086140111,-27.785815276753567
809371,-53.6059168014192,-27.788103131354376
758501,-53.566339751578255,-27.87336491465902
814601,-53.74028363688029,-27.692024505726295
814591,-53.740577043395774,-27.690773769094108
814581,-53.7408731011127,-27.689523466834487
68201,-53.73999341126688,-27.69327582781716
815091,-53.68145531531053,-27.612071839543717
815081,-53.682190493096755,-27.612623399150493
815071,-53.68259448204964,-27.612963026322575
815061,-53.683488762496324,-27.61276185247749
815051,-53.684263404332626,-27.612485128385913
815041,-53.685050144748345,-27.61221872131688
815031,-53.68580994867017,-27.612085078463565
815021,-53.686730231215165,-27.61176764476096
815011,-53.68714326015328,-27.612277962358007
815001,-53.687951470084215,-27.612803804951568
814991,-53.68855581989516,-27.61320584237569
814981,-53.68931781906207,-27.61388342128282
815121,-53.68583807136986,-27.61207995052922
815111,-53.67979423781378,-27.611990540830732
815101,-53.68061559223577,-27.612013822479867
815461,-53.71333029775502,-27.51026355132177
815451,-53.71311245137849,-27.509653849645417
815441,-53.71309352154873,-27.508919821192762
815762,-53.713742562269374,-27.508332083658672
815631,-53.707203527820525,-27.518370283062097
815621,-53.70785609028627,-27.51801364791146
815611,-53.70815416248456,-27.51738432212869
815601,-53.70883049493136,-27.516961539143665
815591,-53.70922430535734,-27.516654870325965
815581,-53.70960540386625,-27.516382823608353
815571,-53.709939773601604,-27.51608290600126
815561,-53.7101580183778,-27.515661016942317
815551,-53.710507084834035,-27.51504458743773
815541,-53.710878172989226,-27.514385503088477
815531,-53.7110089236229,-27.51386634785365
815521,-53.711176944860085,-27.51307634379816
815511,-53.71157063657557,-27.512600687871384
815501,-53.71232242394069,-27.51217010236826
815491,-53.713042118998544,-27.511776227191092
815481,-53.71335034903933,-27.511467610441798
815471,-53.71352591918577,-27.510874589390767
815681,-53.70424747244283,-27.51923982225992
815711,-53.70326577429603,-27.51991374542297
815701,-53.703658604461,-27.519772666974973
815691,-53.70402563577443,-27.519458233410717
818991,-53.70484512949906,-27.51887190781224
815661,-53.70567795837104,-27.518656850233413
815651,-53.706550351117755,-27.518747497399033
815641,-53.706822173904186,-27.518640705604014
73991,-53.69050763471955,-27.638157936339667
817241,-53.69891930408255,-27.525335178875366
817231,-53.69892659038982,-27.52484648817483
817481,-53.69879204731507,-27.524567068815145
817211,-53.698738176125914,-27.523737356094045
817201,-53.69866333094791,-27.522976980203453
817191,-53.69863719664926,-27.522280075764854
817181,-53.69857231775819,-27.52151328051343
817171,-53.69851031759703,-27.520789734558548
817161,-53.698451581075574,-27.51999259528202
817151,-53.69855740430074,-27.519249912653322
817141,-53.69933544557432,-27.518920652865802
817131,-53.69977392982298,-27.518875325236024
817121,-53.70013640786891,-27.51902012597799
817111,-53.70072119922395,-27.51932580194415
817101,-53.701067163019104,-27.519523520593964
817091,-53.701990385447914,-27.519987537494842
815721,-53.70288253090405,-27.520099296245462
817411,-53.69226765113115,-27.52942421725379
817401,-53.69223136978184,-27.528820255050675
817391,-53.692555490843176,-27.528465898782144
817381,-53.69283137047131,-27.52810056898602
817371,-53.69357228863015,-27.528187887760794
817361,-53.69433469788794,-27.528367895162205
817351,-53.69478120408928,-27.528761624649235
817341,-53.6953697006511,-27.529275480179194
817331,-53.69618373818895,-27.529252559158238
817321,-53.69698364198143,-27.529351256155508
817311,-53.69733129830075,-27.528966660183187
817301,-53.69791287817674,-27.528380839104386
817291,-53.69852935264748,-27.527889702247933
817281,-53.69908487916382,-27.527339840561126
817271,-53.699313067743844,-27.5267716147182
817491,-53.69907174276665,-27.526537305352292
817251,-53.698923938289056,-27.525773294401972
817651,-53.68606585435566,-27.538903229900086
817641,-53.68683671724068,-27.539161695056123
